publication,chapter,gram_id,vessel_name,topic_type,sequence,topic_filename,display_text,link_href,glc_path,time_end,freq_end,png_path,file_size,wav_treatment,warnings
main,Instructor Progress Final Assessment Grams,23,"FR Outrider, Category 3, Cardassia",glc,1,gram_23.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 23/Lofar 1 I.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 23/Lofar 1 I.glc,240,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 23/Lofar 1 I.png,166959,,
main,Instructor Progress Final Assessment Grams,23,"FR Outrider, Category 3, Cardassia",glc,2,gram_23.dita,Lofar 2,Instructor Progress Final Assessment Grams Files/Gram 23/Lofar 2_a.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 23/Lofar 2_a.glc,271,100,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 23/Lofar 2_a.png,166959,,
main,Instructor Progress Final Assessment Grams,23,"FR Outrider, Category 3, Cardassia",glc,3,gram_23.dita,Lofar 3,Instructor Progress Final Assessment Grams Files/Gram 23/Lofar 3_a.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 23/Lofar 3_a.glc,180,100,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 23/Lofar 3_a.png,166829,,
main,Instructor Progress Final Assessment Grams,23,"FR Outrider, Category 3, Cardassia",analysis,1,gram_23.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 23/Analysis Sheet.docx,997,,
main,Instructor Progress Final Assessment Grams,25,"FR Ghost, Category 3, Trill",glc,1,gram_25.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 25/Lofar 1_b.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 25/Lofar 1_b.glc,360,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 25/Lofar 1_b.png,166959,,
main,Instructor Progress Final Assessment Grams,25,"FR Ghost, Category 3, Trill",glc,2,gram_25.dita,Lofar 2,Instructor Progress Final Assessment Grams Files/Gram 25/Lofar 2 I.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 25/Lofar 2 I.glc,360,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 25/Lofar 2 I.png,166829,,
main,Instructor Progress Final Assessment Grams,25,"FR Ghost, Category 3, Trill",glc,3,gram_25.dita,Lofar 3,Instructor Progress Final Assessment Grams Files/Gram 25/Lofar 3 Loop 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 25/Lofar 3 Loop 1.glc,240,800,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 25/Lofar 3 Loop 1.png,166959,,
main,Instructor Progress Final Assessment Grams,25,"FR Ghost, Category 3, Trill",analysis,1,gram_25.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 25/Analysis.png,41011,,
main,Instructor Progress Final Assessment Grams,26,"FR Ghost, Category 1, Trill",glc,1,gram_26.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 26/Lofar 1 I.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 26/Lofar 1 I.glc,300,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 26/Lofar 1 I.png,166959,,
main,Instructor Progress Final Assessment Grams,26,"FR Ghost, Category 1, Trill",analysis,1,gram_26.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 26/Analysis.png,41011,,
main,Instructor Progress Final Assessment Grams,27,"Cerritos contact bearing 270, codename Vulcan",glc,1,gram_27.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 27/Lofar 1_b.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 27/Lofar 1_b.glc,300,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 27/Lofar 1_b.wav,844,,
main,Instructor Progress Final Assessment Grams,27,"Cerritos contact bearing 270, codename Vulcan",glc,2,gram_27.dita,Lofar 2,Instructor Progress Final Assessment Grams Files/Gram 27/Lofar 2 ABC.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 27/Lofar 2 ABC.glc,240,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 27/Lofar 2 ABC.png,166975,,
main,Instructor Progress Final Assessment Grams,27,"Cerritos contact bearing 270, codename Vulcan",glc,3,gram_27.dita,Lofar 3,Instructor Progress Final Assessment Grams Files/Gram 27/Lofar 3 Loop 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 27/Lofar 3 Loop 1.glc,360,800,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 27/Lofar 3 Loop 1.wav,844,,
main,Instructor Progress Final Assessment Grams,27,"Cerritos contact bearing 270, codename Vulcan",analysis,1,gram_27.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 27/Analysis.png,41011,,
