publication,chapter,target_doc,target_chapter,gram_id,vessel_name,topic_type,sequence,topic_filename,display_text,link_href,glc_path,time_end,bandwidth,bandcentre,png_path,target_ext,file_size,wav_treatment,warnings,analysis_doc_path,master_png_path,target_gram_id
main,Instructor Week 1 Grams,,1,13,"Razor Crest contact bearing 010, codename Bajor",glc,1,gram_13.dita,Lofar 1,Instructor Week 1 Grams Files/Gram 13/Lofar 1 Loop 1.glc,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 13/Lofar 1 Loop 1.glc,156,800,400,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 13/Lofar 1 Loop 1.png,.png,166975,,,,,3
main,Instructor Week 1 Grams,,1,13,"Razor Crest contact bearing 010, codename Bajor",glc,2,gram_13.dita,Lofar 2,Instructor Week 1 Grams Files/Gram 13/Lofar 2 Loop 1.glc,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 13/Lofar 2 Loop 1.glc,,200,100,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 13/Lofar 2 Loop 1.wav,.wav,844,,,,,3
main,Instructor Week 1 Grams,,1,13,"Razor Crest contact bearing 010, codename Bajor",glc,3,gram_13.dita,Lofar 3,Instructor Week 1 Grams Files/Gram 13/Lofar 3 ABC.glc,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 13/Lofar 3 ABC.glc,156,400,200,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 13/Lofar 3 ABC.png,.png,166985,,,,,3
main,Instructor Week 1 Grams,,1,13,"Razor Crest contact bearing 010, codename Bajor",glc,4,gram_13.dita,Lofar 4,Instructor Week 1 Grams Files/Gram 13/Lofar 4_a.glc,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 13/Lofar 4_a.glc,156,200,100,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 13/Lofar 4_a.png,.png,166975,,,,,3
main,Instructor Week 1 Grams,,1,13,"Razor Crest contact bearing 010, codename Bajor",analysis,1,gram_13.dita,,,,,,,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 13/Analysis Sheet.png,.png,18392,,,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 13/Analysis Sheet.docx,,3
main,Instructor Week 2 Grams,,2,2,"FR Razor Crest, Category 3, Kobol",glc,1,gram_2.dita,Lofar 1,Instructor Week 2 Grams Files/Gram 2/Lofar 1.glc,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 2/Lofar 1.glc,156,800,400,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 2/Lofar 1.png,.png,166985,,,,,1
main,Instructor Week 2 Grams,,2,2,"FR Razor Crest, Category 3, Kobol",glc,2,gram_2.dita,Lofar 2,Instructor Week 2 Grams Files/Gram 2/Lofar 2 Loop 2.glc,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 2/Lofar 2 Loop 2.glc,156,800,400,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 2/Lofar 2 Loop 2.png,.png,166959,,,,,1
main,Instructor Week 2 Grams,,2,2,"FR Razor Crest, Category 3, Kobol",glc,3,gram_2.dita,Lofar 3,Instructor Week 2 Grams Files/Gram 2/Lofar 3_a.glc,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 2/Lofar 3_a.glc,156,100,50,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 2/Lofar 3_a.png,.png,166829,,,,,1
main,Instructor Week 2 Grams,,2,2,"FR Razor Crest, Category 3, Kobol",glc,4,gram_2.dita,Lofar 4,Instructor Week 2 Grams Files/Gram 2/Lofar 4_b.glc,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 2/Lofar 4_b.glc,156,400,200,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 2/Lofar 4_b.png,.png,166985,,,,,1
main,Instructor Week 2 Grams,,2,2,"FR Razor Crest, Category 3, Kobol",analysis,1,gram_2.dita,,,,,,,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 2/Analysis Sheet.png,.png,16169,,,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 2/Analysis Sheet.docx,,1
main,Instructor Week 2 Grams,,2,12,"FR Ghost, Category 3, Tantive",glc,1,gram_12.dita,Lofar 1,Instructor Week 2 Grams Files/Gram 12/Lofar 1 I.glc,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 12/Lofar 1 I.glc,156,200,100,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 12/Lofar 1 I.png,.png,166959,,,,,2
main,Instructor Week 2 Grams,,2,12,"FR Ghost, Category 3, Tantive",glc,2,gram_12.dita,Lofar 2,Instructor Week 2 Grams Files/Gram 12/Lofar 2_b.glc,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 12/Lofar 2_b.glc,,200,100,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 12/Lofar 2_b.wav,.wav,844,,,,,2
main,Instructor Week 2 Grams,,2,12,"FR Ghost, Category 3, Tantive",analysis,1,gram_12.dita,,,,,,,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 12/Analysis.png,.png,41011,,,,,2
main,Instructor Week 2 Grams,,2,14,"FR Nebula-class, Category 1, Caprica",glc,1,gram_14.dita,Lofar 1,Instructor Week 2 Grams Files/Gram 14/Lofar 1 Loop 1.glc,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 14/Lofar 1 Loop 1.glc,156,100,50,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 14/Lofar 1 Loop 1.png,.png,166975,,,,,3
main,Instructor Week 2 Grams,,2,14,"FR Nebula-class, Category 1, Caprica",analysis,1,gram_14.dita,,,,,,,source/Instructor Week 2 Grams/Instructor Week 2 Grams Files/Gram 14/Analysis.png,.png,41011,,,,,3
progress-test-1,,Instructor Progress Test 1 Grams.pptx,,1,"FR Prometheus, Category 1, Bespin",glc,1,gram_1.dita,Lofar 1,Instructor Progress Test 1 Grams Files/Gram 1/Lofar 1.glc,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 1/Lofar 1.glc,156,400,200,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 1/Lofar 1.png,.png,166985,,,,,
progress-test-1,,Instructor Progress Test 1 Grams.pptx,,1,"FR Prometheus, Category 1, Bespin",glc,2,gram_1.dita,Lofar 2,Instructor Progress Test 1 Grams Files/Gram 1/Lofar 2 I.glc,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 1/Lofar 2 I.glc,156,400,200,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 1/Lofar 2 I.png,.png,166829,,,,,
progress-test-1,,Instructor Progress Test 1 Grams.pptx,,1,"FR Prometheus, Category 1, Bespin",analysis,1,gram_1.dita,,,,,,,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 1/Analysis Sheet.png,.png,16646,,,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 1/Analysis Sheet.docx,,
progress-test-1,,Instructor Progress Test 1 Grams.pptx,,10,"FR Stargazer, Category 3, Risa",glc,1,gram_10.dita,Lofar 1,Instructor Progress Test 1 Grams Files/Gram 10/Lofar 1 Loop 1.glc,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 10/Lofar 1 Loop 1.glc,156,200,100,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 10/Lofar 1 Loop 1.png,.png,166975,,,,,
progress-test-1,,Instructor Progress Test 1 Grams.pptx,,10,"FR Stargazer, Category 3, Risa",glc,2,gram_10.dita,Lofar 2,Instructor Progress Test 1 Grams Files/Gram 10/Lofar 2_a.glc,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 10/Lofar 2_a.glc,156,400,200,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 10/Lofar 2_a.png,.png,166959,,,,,
progress-test-1,,Instructor Progress Test 1 Grams.pptx,,10,"FR Stargazer, Category 3, Risa",glc,3,gram_10.dita,Lofar 3,Instructor Progress Test 1 Grams Files/Gram 10/Lofar 3 ABC.glc,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 10/Lofar 3 ABC.glc,156,400,200,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 10/Lofar 3 ABC.png,.png,166985,,,,,
progress-test-1,,Instructor Progress Test 1 Grams.pptx,,10,"FR Stargazer, Category 3, Risa",glc,4,gram_10.dita,Lofar 4,Instructor Progress Test 1 Grams Files/Gram 10/Lofar 4 Loop 1.glc,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 10/Lofar 4 Loop 1.glc,156,100,50,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 10/Lofar 4 Loop 1.png,.png,166829,,,,,
progress-test-1,,Instructor Progress Test 1 Grams.pptx,,10,"FR Stargazer, Category 3, Risa",analysis,1,gram_10.dita,,,,,,,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 10/Analysis.png,.png,41011,,,,,
progress-test-1,,Instructor Progress Test 1 Grams.pptx,,11,"FR Voyager, Category 3, Risa (mark II)",glc,1,gram_11.dita,Lofar 1,Instructor Progress Test 1 Grams Files/Gram 11/Lofar 1.glc,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 11/Lofar 1.glc,156,800,400,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 11/Lofar 1.png,.png,166985,,,,,
progress-test-1,,Instructor Progress Test 1 Grams.pptx,,11,"FR Voyager, Category 3, Risa (mark II)",glc,2,gram_11.dita,Lofar 2,Instructor Progress Test 1 Grams Files/Gram 11/Lofar 2.glc,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 11/Lofar 2.glc,156,400,200,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 11/Lofar 2.png,.png,166959,,,,,
progress-test-1,,Instructor Progress Test 1 Grams.pptx,,11,"FR Voyager, Category 3, Risa (mark II)",glc,3,gram_11.dita,Lofar 3,Instructor Progress Test 1 Grams Files/Gram 11/Lofar 3.glc,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 11/Lofar 3.glc,156,200,100,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 11/Lofar 3.png,.png,166829,,,,,
progress-test-1,,Instructor Progress Test 1 Grams.pptx,,11,"FR Voyager, Category 3, Risa (mark II)",analysis,1,gram_11.dita,,,,,,,source/Instructor Progress Test 1 Grams/Instructor Progress Test 1 Grams Files/Gram 11/Analysis.png,.png,41011,,,,,
